times,H005,H007,H010,H022,H032,H060,H100
0.005,,0.001951361,0.002280561,0.001971963,0.002099704,0.002090942,0.001952251
0.007,0.004007438,0.00306342,0.003304371,0.003059899,0.002765767,0.002979551,0.002731665
0.009,0.004687409,0.00450557,0.003968667,0.0038839,0.003892979,0.003673348,0.003696747
0.011,0.00568641,0.005442366,0.005075241,0.004629264,0.004808832,0.004865669,0.004854298
0.013,0.006906245,0.006427857,0.006013942,0.005789498,0.005789498,0.005758989,0.005603822
0.015,0.0078206,0.007353678,0.00710202,0.006642575,0.006646099,0.006678757,0.006459483
0.017,0.00881597,0.008348727,0.008025689,0.007698277,0.007687294,0.007487464,0.007533474
0.019,0.009210176,0.009338857,0.008922037,0.008757703,0.008554995,0.008548427,0.008579809
0.021,0.009438399,0.009897592,0.009786363,0.009625427,0.009664486,0.009634039,0.009650141
0.023,0.008493738,0.009997703,0.010476336,0.010503831,0.010515807,0.010332714,0.010320647
0.025,0.008222378,,0.011214313,0.011199186,0.011395464,0.011409398,0.011402006
0.027,0.007700382,0.010114773,0.011719385,0.012088106,0.012102307,0.012110533,0.012101462
0.029,0.00783157,0.008801211,,0.01300258,0.01320012,0.012822781,0.013035613
0.031,0.007700546,0.008562001,0.01226932,0.013761102,0.013606027,0.013733322,0.013918243
0.033,0.007646092,0.008125972,0.010761714,0.014714656,0.014676498,0.014474673,0.014667807
0.035,0.007474514,0.008172792,0.010218,0.015875017,0.015262363,0.015115352,0.015256696
0.037,0.007590605,0.008143147,0.009775,0.016754525,0.016233832,0.015829702,0.01643519
0.039,0.007881254,0.008151021,0.009579164,0.01823531,0.017269488,0.016995991,0.017597417
0.041,0.008039401,0.008281788,0.009491553,0.019982987,0.018709976,0.018206246,0.018668893
0.043,0.008393086,0.008471534,0.009546236,0.022082936,0.020781686,0.019693166,0.020156998
0.045,0.008960232,0.008814946,0.009604735,0.023873979,0.022408763,0.021430991,0.02204438
0.047,0.009334994,0.009081265,0.009548246,0.025566493,0.02433249,0.023686547,0.023787431
0.049,0.00973588,0.009425788,0.00991657,0.026863145,0.026189855,0.025282726,0.02547942
0.051,0.010315102,0.00989245,0.010186697,0.028428666,0.02750862,0.026971796,0.027146526
0.053,0.010699986,0.010320856,0.010456301,0.02982226,0.029074117,0.028583414,0.028583146
0.055,0.011120177,0.010789682,0.010953244,0.031339573,0.030483079,0.030015137,0.029977622
0.057,0.01162776,0.011221374,0.011255076,0.032527115,0.031837694,0.031563658,0.031344063
0.059,0.012033367,0.011707029,0.011755948,0.034048015,0.033353677,0.03274704,0.032691247
0.061,0.012502172,0.012257368,0.012217458,0.035574684,0.034691975,0.034234294,0.034028298
0.063,0.013049127,0.012739755,0.012711435,0.037307517,0.036029399,0.035587557,0.035363477
0.065,0.013407602,,0.013019436,,0.037730362,0.037089197,0.0368691
